activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059075518,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,1,1,2,2,2,495000.0,35.622,6.375,0.1655,3,8419.56,NA,2366,,138.94,360,NA,NA,2,2,2,2,1395000,1,3,3,5,1,NA,262,46,1,9,2,,,,,2,,,,,2,2,2,22,26,,,2,22,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,2,,,,,10,,,,9171,71.58,129000,114,2271,2372,10
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059075702,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,0,2,1,1,1,2,2,2,835000.0,80,6.25,0.1534,2,8560.06,NA,1676,,4503.94,360,NA,NA,2,2,2,2,1045000,1,1,3,5,1,NA,388,20%-<30%,1,9,1,,,,,3,,,,,2,2,5,,,,,6,,,,,2,2,2,3,2,2,35-44,35-44,No,No,1,1,7,,,,,10,,,,3363,40.5,129000,126,999,1095,59
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059032063,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,3,0,2,1,1,1,2,2,2,1505000.0,66.667,NA,NA,3,NA,NA,NA,NA,NA,360,NA,120,2,2,2,2,2255000,1,1,3,5,1,NA,379,50%-60%,1,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,7,,,,,1,,,,7128,30.92,129000,157,1964,2250,16
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059042332,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Joint,3,0,2,1,1,1,2,2,2,2005000.0,50,NA,NA,3,NA,NA,NA,NA,NA,360,NA,120,2,2,2,2,4005000,1,1,3,5,1,NA,561,50%-60%,9,3,3,,,,,3,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,55-64,No,No,1,1,7,,,,,1,,,,5197,23.34,129000,179,1863,2345,30
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059088802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,3,0,2,1,1,1,2,2,2,715000.0,52.963,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1355000,1,3,3,5,2,NA,95,>60%,2,9,2,,,,,2,,,,,2,2,2,26,,,,6,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,1,7,,,,1,6,,,5500,89.22,129000,57,742,1108,54
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059032047,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,675000.0,75,5.75,-0.3479,2,4886.58,NA,2111,,1124,360,NA,NA,2,2,2,2,905000,1,1,3,5,1,NA,150,45,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,4545,46.38,129000,106,1088,1023,33
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059099240,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,0,2,1,1,1,2,2,2,1145000.0,50.197,5,-0.9934,2,10453.74,NA,3112.88,,5747.5,360,NA,NA,2,2,2,2,2285000,1,1,3,5,1,NA,424,30%-<36%,3,9,2,,,,,2,,,,,2,2,2,26,,,,2,26,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,7,,,,,10,,,,5339,31.58,129000,94,1047,1436,49
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059062701,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,0,2,1,1,1,2,2,2,4005000.0,52.632,4.75,-1.1392,2,9540.06,NA,2405,,10113.94,360,NA,120,2,2,2,2,7605000,1,1,3,5,1,NA,9624,<20%,1,9,2,,,,,11,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,1,1,7,,,,,10,,,,2667,14.17,129000,203,922,1472,53
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059063302,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,0,2,1,1,1,2,2,2,1805000.0,80,4.75,-1.5619,2,8848.18,NA,2530,,36.97,360,NA,120,2,2,2,2,2255000,1,1,3,5,1,NA,724,30%-<36%,1,10,2,,,,,5,,,,,2,4,2,21,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,7,,,,,10,,,,4176,23.68,129000,142,712,1430,61
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059052429,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,0,2,1,1,1,2,2,2,2105000.0,75,6.125,0.0474,2,11101.06,NA,2530,,5250,360,NA,NA,2,2,2,2,2805000,1,1,3,5,1,NA,494,39,9,3,2,,,,,2,,,,,2,2,2,25,,,,2,25,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,7,,,,,10,,,,9524,80.87,129000,111,1367,1837,8
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059042319,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,1,0,2,1,1,1,2,2,2,1965000.0,80,5.125,-1.3137,2,11526.53,NA,2530,,4936.97,360,NA,120,2,2,2,2,2455000,1,1,3,5,1,NA,524,40,1,10,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,7,,,,,10,,,,3195,31.17,129000,136,931,1191,35
2024,KB1H1DSPRFMYMCUFXT09,11244,CA,06059,06059052513,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,1,1,2,2,2,1255000.0,31.25,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,4005000,1,1,3,5,1,NA,281,50%-60%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,55-64,65-74,No,Yes,1,1,7,,,,,1,,,,5801,51.27,129000,125,1141,1580,42
