evaluation_scope,asset,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
by_asset,BTC,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.07926829268292683,0.37142857142857144,3.7165505226480837,13,35
by_asset,BTC,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.057926829268292686,0.5428571428571428,2.715940766550523,19,35
by_asset,ETH,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.3125,0.14285714285714285,14.651785714285715,5,35
by_asset,ETH,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.15853658536585366,0.37142857142857144,7.433101045296167,13,35
by_asset,ETH,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.0975609756097561,0.45714285714285713,4.574216027874565,16,35
by_asset,ETH,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.06402439024390244,0.6,3.001829268292683,21,35
by_asset,SOL,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.08596781269368999,0.7709851611203792,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.1875,0.21428571428571427,21.977678571428573,3,14
by_asset,SOL,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.08596781269368999,0.7709851611203792,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.08536585365853659,0.5,10.006097560975611,7,14
by_asset,SOL,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.08596781269368999,0.7709851611203792,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.054878048780487805,0.6428571428571429,6.432491289198606,9,14
by_asset,SOL,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.08596781269368999,0.7709851611203792,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.042682926829268296,1.0,5.003048780487806,14,14
by_asset,USDC,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.24976718549874177,0.7422073930986038,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.3125,0.35714285714285715,36.629464285714285,5,14
by_asset,USDC,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.24976718549874177,0.7422073930986038,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.08536585365853659,0.5,10.006097560975611,7,14
by_asset,USDC,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.24976718549874177,0.7422073930986038,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.04878048780487805,0.5714285714285714,5.7177700348432055,8,14
by_asset,USDC,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.24976718549874177,0.7422073930986038,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.024390243902439025,0.5714285714285714,2.8588850174216027,8,14
by_asset,USDT,weak_label_3d,weak_supervision_score,3282,28,0.008531383302864107,0.26730297886844884,0.7877667047150759,Asset-level weak-supervision evaluation is descriptive only.,0.01,33,0.2727272727272727,0.32142857142857145,31.967532467532465,9,28
by_asset,USDT,weak_label_3d,weak_supervision_score,3282,28,0.008531383302864107,0.26730297886844884,0.7877667047150759,Asset-level weak-supervision evaluation is descriptive only.,0.05,164,0.10975609756097561,0.6428571428571429,12.864982578397212,18,28
by_asset,USDT,weak_label_3d,weak_supervision_score,3282,28,0.008531383302864107,0.26730297886844884,0.7877667047150759,Asset-level weak-supervision evaluation is descriptive only.,0.1,328,0.054878048780487805,0.6428571428571429,6.432491289198606,18,28
by_asset,USDT,weak_label_3d,weak_supervision_score,3282,28,0.008531383302864107,0.26730297886844884,0.7877667047150759,Asset-level weak-supervision evaluation is descriptive only.,0.2,656,0.027439024390243903,0.6428571428571429,3.216245644599303,18,28
all_assets,ALL,weak_label_3d,weak_supervision_score_raw,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.01,115,0.2608695652173913,0.21428571428571427,21.404347826086955,30,140
all_assets,ALL,weak_label_3d,weak_supervision_score_raw,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.05,574,0.10278745644599303,0.42142857142857143,8.433710801393728,59,140
all_assets,ALL,weak_label_3d,weak_supervision_score_raw,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.1,1149,0.060922541340295906,0.5,4.998694516971279,70,140
all_assets,ALL,weak_label_3d,weak_supervision_score_raw,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.2,2297,0.03221593382673052,0.5285714285714286,2.643317370483239,74,140
by_asset,BNB,weak_label_3d,weak_supervision_score_raw,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.125,0.14285714285714285,14.651785714285715,2,14
by_asset,BNB,weak_label_3d,weak_supervision_score_raw,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.06097560975609756,0.35714285714285715,7.147212543554007,5,14
by_asset,BNB,weak_label_3d,weak_supervision_score_raw,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.036585365853658534,0.42857142857142855,4.288327526132404,6,14
by_asset,BNB,weak_label_3d,weak_supervision_score_raw,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.024390243902439025,0.5714285714285714,2.8588850174216027,8,14
by_asset,BTC,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.25,0.11428571428571428,11.721428571428572,4,35
by_asset,BTC,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.13414634146341464,0.3142857142857143,6.289547038327527,11,35
by_asset,BTC,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.07926829268292683,0.37142857142857144,3.7165505226480837,13,35
by_asset,BTC,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.057926829268292686,0.5428571428571428,2.715940766550523,19,35
by_asset,ETH,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.3125,0.14285714285714285,14.651785714285715,5,35
by_asset,ETH,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.15853658536585366,0.37142857142857144,7.433101045296167,13,35
by_asset,ETH,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.0975609756097561,0.45714285714285713,4.574216027874565,16,35
by_asset,ETH,weak_label_3d,weak_supervision_score_raw,1641,35,0.021328458257160267,0.13480800814199834,0.6870841487279843,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.06402439024390244,0.6,3.001829268292683,21,35
by_asset,SOL,weak_label_3d,weak_supervision_score_raw,1641,14,0.008531383302864107,0.08596781269368999,0.7709851611203792,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.1875,0.21428571428571427,21.977678571428573,3,14
by_asset,SOL,weak_label_3d,weak_supervision_score_raw,1641,14,0.008531383302864107,0.08596781269368999,0.7709851611203792,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.08536585365853659,0.5,10.006097560975611,7,14
by_asset,SOL,weak_label_3d,weak_supervision_score_raw,1641,14,0.008531383302864107,0.08596781269368999,0.7709851611203792,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.054878048780487805,0.6428571428571429,6.432491289198606,9,14
