date,asset,weak_supervision_score,weak_supervision_score_raw,lf_vote_count,weak_supervision_alert_top5,transparent_risk_score,anomaly_ensemble_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,lf_transparent_top5,lf_anomaly_top5,lf_return_volume_joint,lf_range_drawdown_joint,lf_stablecoin_depeg,lf_defi_context_shock,lf_multimethod_consensus,claim_boundary
2022-11-09,SOL,99.80847915034387,0.8500000000000001,6,1,99.96517802733524,1.0,1,1,E002,exchange_failure,high,-0.5495821084962169,2.4352872698357046,4.757991953704207,-0.6208195872887149,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-12-04,BTC,99.80847915034387,0.8500000000000001,6,1,99.79977365717768,0.9865935405240708,0,0,,,,-0.0856084308551636,2.7354764005767347,4.347013773049169,-0.2718216247479058,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-03-13,USDT,99.80847915034387,0.8500000000000001,6,1,99.4167319578654,0.9960390006093846,1,1,E003,stablecoin_depeg,high,-0.0032610071193272,2.0108723682417726,1.5584183020795246,-0.0037907914667206,0.0038700103759765,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-03-13,USDT,99.80847915034387,0.8500000000000001,6,1,99.4254374510316,0.9963436928702012,1,1,E003,stablecoin_depeg,high,-0.0032610071193272,2.0108723682417726,1.5584183020795246,-0.0037907914667206,0.0038700103759765,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-06-15,SOL,99.80847915034387,0.8500000000000001,6,1,99.7823626708453,0.9701401584399756,0,0,,,,0.1489706119600873,1.829424563378804,2.759192102791275,-0.3962789663402145,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-11,BNB,99.80847915034387,0.8500000000000001,6,1,99.9303560546705,0.9917733089579523,0,0,,,,-0.1679314923067618,2.592455883061618,3.407524650143364,-0.3619864625853823,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-09,BTC,99.80847915034387,0.8500000000000001,6,1,99.87812309567336,0.9817184643510056,1,1,E001,stablecoin_depeg,high,-0.1170549632581519,2.6325689120126095,3.2612181520249326,-0.2821932179835493,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-11,USDT,99.80847915034387,0.8500000000000001,6,1,99.98258901366762,0.9972577696526508,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-09,BNB,99.80847915034387,0.8500000000000001,6,1,99.91294506833812,0.9993906154783668,0,0,,,,-0.1716304683028857,2.2834324317660357,4.387996024974091,-0.2925369825264517,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-18,USDT,99.59954731435536,0.8,5,1,99.61695830068771,0.9981718464351006,0,0,,,,-0.0113601322296096,2.264746111750188,4.684188441835307,-0.0112958495775471,0.0001039505004885,1,1,1,1,0,0,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-18,USDT,99.59954731435536,0.8,5,1,99.62566379385392,0.997867154174284,0,0,,,,-0.0113601322296096,2.264746111750188,4.684188441835307,-0.0112958495775471,0.0001039505004885,1,1,1,1,0,0,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-18,USDC,99.59954731435536,0.8,5,1,99.6343692870201,0.9963436928702012,0,0,,,,-0.0103463142327043,3.402063320675406,4.6594089372604905,-0.0102929752361042,9.500980377197266e-05,1,1,1,1,0,0,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-17,USDT,99.59954731435536,0.8,5,1,97.81492121528684,0.9998476538695916,0,0,,,,0.0091218565348114,1.7730205759071478,3.631510717450691,0.0,0.0115300416946411,1,1,1,0,1,0,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-17,USDT,99.59954731435536,0.8,5,1,97.80621572212064,0.9992382693479586,0,0,,,,0.0091218565348114,1.7730205759071478,3.631510717450691,0.0,0.0115300416946411,1,1,1,0,1,0,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-12-28,SOL,99.59954731435536,0.8,5,1,99.60825280752157,0.9768433881779404,0,0,,,,-0.1277587906012884,2.0158817162963794,3.18843081256294,-0.3172366590023994,0.0,1,1,1,1,0,0,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-17,USDC,99.59954731435536,0.8,5,1,97.64081135196308,0.9993906154783668,0,0,,,,0.0094089041535738,1.6089242459706476,3.687250581250917,0.0,0.0104960203170776,1,1,1,0,1,0,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-11-10,USDC,99.29050230695569,0.7000000000000001,5,1,98.52006616174806,0.9804996953077392,0,0,,,,0.0003498176182427,2.144086818811881,4.944339313403038,0.0,0.0006920099258425,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2024-11-06,ETH,99.29050230695569,0.7000000000000001,5,1,96.2566379385392,0.9664838513101768,0,0,,,,0.1173012526406989,2.8780612443080886,3.3887854111002436,-0.0080815303828116,0.0,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-11-08,USDC,99.29050230695569,0.7000000000000001,5,1,96.79637851484286,0.9719683120048752,0,0,,,,-0.0003410057676845,2.993972556479873,4.801200865981978,-0.0003409476318261,1.800060272216797e-05,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-03-12,USDT,99.29050230695569,0.7000000000000001,5,1,95.72560285540176,0.9984765386959172,1,1,E003,stablecoin_depeg,high,-0.0005369876071648,0.9698960286435916,1.6972124274478937,-0.0005368434551235,0.0071489810943603,1,1,0,0,1,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-06-05,SOL,99.29050230695569,0.7000000000000001,5,1,99.27744406720642,0.9926873857404022,0,0,,,,-0.0833017814317944,2.163376489447274,3.957675642501418,-0.0809902182609517,0.0,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-08-17,USDC,99.29050230695569,0.7000000000000001,5,1,96.60485766518671,0.9536867763558804,0,0,,,,0.000399971592571,2.571859122459889,3.348374597076454,0.0,0.0004370212554931,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-06-10,USDT,99.29050230695569,0.7000000000000001,5,1,98.5810046139114,0.9675502742230347,0,0,,,,0.0004899743376982,2.304903319643837,2.135922968757166,-0.000141895818684,0.0004390478134155,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-01-21,BTC,99.29050230695569,0.7000000000000001,5,1,99.6430747801863,0.9884216940889702,0,0,,,,-0.1096046829154406,1.2664196582618643,3.93837227692635,-0.2826497127469989,0.0,1,1,0,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-09-07,BTC,99.29050230695569,0.7000000000000001,5,1,99.02498476538696,0.9804996953077392,0,0,,,,-0.1172324952972996,3.725785145372015,4.715728441185279,-0.1106216071695616,0.0,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-08-17,USDT,99.29050230695569,0.7000000000000001,5,1,96.9966048576652,0.965569774527727,0,0,,,,0.0015305720062986,3.026326276669369,3.163231529005887,0.0,0.0003859996795654,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-05-20,BNB,99.29050230695569,0.7000000000000001,5,1,99.24262209454166,0.9768433881779404,0,0,,,,0.1492923163578687,1.2188821433932882,1.8386779764809955,-0.4174603591845938,0.0,1,1,0,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-06-19,BTC,99.29050230695569,0.7000000000000001,5,1,96.59615217202054,0.9750152346130408,0,0,,,,0.077653019524071,0.394811395111691,1.4469251869611224,-0.3535143834836732,0.0,1,1,0,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-05-12,BTC,99.29050230695569,0.7000000000000001,5,1,99.00757377905458,0.9975624619134674,0,0,,,,-0.1429671467730369,0.8704974787251998,3.3558634357981387,-0.2260179610054448,0.0,1,1,0,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-06-18,BTC,99.29050230695569,0.7000000000000001,5,1,98.72899799773656,0.973491773308958,0,0,,,,-0.0736657112248888,0.9215882808223124,2.264085793537438,-0.4018162803837382,0.0,1,1,0,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-05-23,BNB,99.29050230695569,0.7000000000000001,5,1,97.44929050230697,0.9972577696526508,0,0,,,,-0.130180605384643,0.5639250687909338,1.6826756277252666,-0.6108452371403114,0.0,1,1,0,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-06-16,BTC,99.29050230695569,0.7000000000000001,5,1,96.68320710368242,0.9549055453991468,0,0,,,,-0.1021124013301033,0.0487688578522426,1.7927703004638644,-0.3589125785439838,0.0,1,1,0,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-06-10,USDT,99.29050230695569,0.7000000000000001,5,1,98.58971010707756,0.968159658744668,0,0,,,,0.0004899743376982,2.304903319643837,2.135922968757166,-0.000141895818684,0.0004390478134155,1,1,1,0,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
