date,asset,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,dex_volume_z_30d,chain_tvl_z_30d,claim_boundary
2021-04-18,USDC,99.6343692870201,0,0,,,,-0.0103463142327043,0.0058762914291762,3.402063320675406,4.6594089372604905,-0.0102929752361042,9.500980377197266e-05,2.0262742144307273,1.4667984611750946,"Top alerts are review candidates, not confirmed fraud cases."
2021-04-18,USDT,99.62566379385393,0,0,,,,-0.0113601322296096,0.0061251322359786,2.264746111750188,4.684188441835307,-0.0112958495775471,0.0001039505004885,2.0262742144307273,1.4667984611759994,"Top alerts are review candidates, not confirmed fraud cases."
2021-04-18,USDT,99.61695830068773,0,0,,,,-0.0113601322296096,0.0061251322359786,2.264746111750188,4.684188441835307,-0.0112958495775471,0.0001039505004885,2.0262742144307273,1.4667984611750946,"Top alerts are review candidates, not confirmed fraud cases."
2022-12-28,SOL,99.60825280752155,0,0,,,,-0.1277587906012884,0.0440904513287083,2.0158817162963794,3.18843081256294,-0.3172366590023994,0.0,0.0837372861819707,-1.8846290622361632,"Top alerts are review candidates, not confirmed fraud cases."
2021-04-05,USDT,99.59954731435536,0,0,,,,-0.003142218277616,0.0017549165133277,2.4118061170975413,1.2486311784515522,-0.0031372866765053,0.0002540349960327,1.3567929985094436,2.668034910823823,"Top alerts are review candidates, not confirmed fraud cases."
2021-04-05,USDT,99.59084182118917,0,0,,,,-0.003142218277616,0.0017549165133277,2.4118061170975413,1.2486311784515522,-0.0031372866765053,0.0002540349960327,1.3567929985094436,2.6680349108195145,"Top alerts are review candidates, not confirmed fraud cases."
2022-06-13,ETH,99.58213632802298,0,0,,,,-0.1821259210514076,0.0614185095829937,2.721497953992876,3.884739507862645,-0.4386079351994552,0.0,2.985161426687413,,"Top alerts are review candidates, not confirmed fraud cases."
2023-08-17,BNB,99.5734308348568,0,0,,,,-0.0592214107032376,0.0216643530957997,1.917712319917867,4.176482509434898,-0.1170448067256172,0.0,3.161059591409465,-2.506688538100399,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-19,ETH,99.5647253416906,0,0,,,,-0.3174590304840619,0.1325359006990281,2.162798813052752,4.945660362792582,-0.4097252122986823,0.0,3.3847732494386524,,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-21,ETH,99.55601984852443,0,0,,,,-0.1597866123370455,0.057112140436036,2.3013873994945975,4.180921300254841,-0.3773315697588175,0.0,3.25450661432458,,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-05,BNB,99.54731435535822,0,0,,,,-0.0660740547301133,0.0320814286798648,2.0552498185977206,2.5566789940418606,-0.2181326596214891,0.0,1.4598630205902032,-1.7888807506852638,"Top alerts are review candidates, not confirmed fraud cases."
2024-08-05,ETH,99.53860886219205,0,0,,,,-0.1055891561296604,0.038480074412461,3.6619253702837433,4.566498768187089,-0.3165179661155481,0.0,4.169908207502609,,"Top alerts are review candidates, not confirmed fraud cases."
