check_family,score_family,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
main_weak_label,ablation,weak_label_3d,score_component_stablecoin_peg_stress,11487,140,0.01218769043266301,0.08293540351650648,0.4498435709879264,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.1391304347826087,0.11428571428571428,11.415652173913044,16,140
main_weak_label,ablation,weak_label_3d,score_component_stablecoin_peg_stress,11487,140,0.01218769043266301,0.08293540351650648,0.4498435709879264,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.0313588850174216,0.12857142857142856,2.5729965156794425,18,140
main_weak_label,ablation,weak_label_3d,score_component_stablecoin_peg_stress,11487,140,0.01218769043266301,0.08293540351650648,0.4498435709879264,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.018276762402088774,0.15,1.499608355091384,21,140
main_weak_label,ablation,weak_label_3d,score_component_stablecoin_peg_stress,11487,140,0.01218769043266301,0.08293540351650648,0.4498435709879264,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.00957771005659556,0.15714285714285714,0.7858511101436656,22,140
main_weak_label,ablation,weak_label_3d,score_component_volume_shock,11487,140,0.01218769043266301,0.05660108083938221,0.7820339548527615,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.0782608695652174,0.06428571428571428,6.421304347826087,9,140
main_weak_label,ablation,weak_label_3d,score_component_volume_shock,11487,140,0.01218769043266301,0.05660108083938221,0.7820339548527615,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.08362369337979095,0.34285714285714286,6.861324041811847,48,140
main_weak_label,ablation,weak_label_3d,score_component_volume_shock,11487,140,0.01218769043266301,0.05660108083938221,0.7820339548527615,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.058311575282854654,0.4785714285714286,4.784464751958224,67,140
main_weak_label,ablation,weak_label_3d,score_component_volume_shock,11487,140,0.01218769043266301,0.05660108083938221,0.7820339548527615,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.040487592511972134,0.6642857142857143,3.3220069656073137,93,140
main_weak_label,ablation,weak_label_3d,score_context_only_lfs,11487,140,0.01218769043266301,0.07142318082257695,0.6648900275717935,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.14782608695652175,0.12142857142857143,12.12913043478261,17,140
main_weak_label,ablation,weak_label_3d,score_context_only_lfs,11487,140,0.01218769043266301,0.07142318082257695,0.6648900275717935,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.078397212543554,0.32142857142857145,6.432491289198605,45,140
