date,asset,anomaly_ensemble_score,isolation_forest_score,lof_score,robust_z_score,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,claim_boundary
2023-03-12,USDT,0.9984765386959171,0.9913162705667276,0.997867154174284,0.9986288848263254,95.72560285540176,1,1,E003,stablecoin_depeg,high,-0.0005369876071648,0.0019972464665601,0.9698960286435916,1.6972124274478937,-0.0005368434551235,0.0071489810943603,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-04-18,USDT,0.9981718464351006,0.9937538086532602,0.9993906154783668,0.9852224253503961,99.61695830068771,0,0,,,,-0.0113601322296096,0.0061251322359786,2.264746111750188,4.684188441835307,-0.0112958495775471,0.0001039505004885,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2025-01-18,SOL,0.9981718464351006,0.9987812309567337,0.9914686166971359,0.9926873857404022,93.27935927570296,0,0,,,,0.1759411238795127,0.0680689538691653,3.5469863005017763,3.507517548320741,0.0,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-04-04,USDC,0.9981718464351006,0.9939061547836685,0.9981718464351006,0.9804996953077392,61.225733437799256,0,0,,,,0.0001654637857395,0.0012212730228672,-1.6489816605946388,4.1757074411648665,0.0,0.0029569864273071,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2025-02-03,BNB,0.9981718464351006,0.9908592321755028,0.9987812309567337,0.9908592321755028,91.56437712196396,0,0,,,,-0.0007772739806437,0.0264393376875458,2.9711002840348533,4.126305739942812,-0.1539337588723341,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2023-07-06,ETH,0.9981718464351006,0.9664838513101767,0.9768433881779403,0.9993906154783668,89.84939496822494,0,0,,,,-0.0329627281387843,0.023600910426696,0.9804633732059108,1.6015457439615737,-0.0545940868048714,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-07-26,BTC,0.9981718464351006,0.9945155393053017,0.9896404631322364,0.9768433881779403,91.2509793679812,0,0,,,,0.0546954286916125,0.0347996972876967,2.662788886828106,3.831372445366121,0.0,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-04-18,USDT,0.997867154174284,0.9937538086532602,0.9990859232175503,0.9852224253503961,99.62566379385392,0,0,,,,-0.0113601322296096,0.0061251322359786,2.264746111750188,4.684188441835307,-0.0112958495775471,0.0001039505004885,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-05-12,BTC,0.9975624619134674,0.987812309567337,0.9939061547836685,0.9652650822669104,99.00757377905458,0,0,,,,-0.1429671467730369,0.0581158723474513,0.8704974787251998,3.3558634357981387,-0.2260179610054448,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-04-23,USDC,0.9975624619134674,0.9841560024375381,0.9926873857404022,0.9945155393053017,66.75372159832854,0,0,,,,-5.0008146450614344e-05,0.0057075821031611,2.3016079599072854,-0.6468543063051401,-0.0104087638343189,2.199411392200812e-05,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2022-05-11,USDT,0.9975624619134674,0.9998476538695917,0.9963436928702011,0.9803473491773309,99.9912945068338,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,0.0014698980181551,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,"Anomaly top alerts are review candidates, not confirmed fraud cases."
